mutantIndex;mutantType;copyingTime;mutationTime;buildingTime
1;5;458;0;0
2;4;471;0;0
3;1;478;0;0
4;3;630;0;0
5;2;821;0;0
6;5;1179;0;0
7;5;1701;0;0
8;5;1672;0;0
9;5;1927;0;0
10;5;2466;0;0
11;5;2794;0;0
12;5;2422;0;0
13;5;2932;0;0
14;5;2547;0;0
15;5;2182;0;0
16;5;1900;0;0
17;5;2287;0;0
18;5;2102;0;0
19;5;1897;0;0
20;5;1660;0;0
21;5;1522;0;0
22;5;913;0;0
23;4;783;0;0
24;4;1209;0;0
25;4;1310;0;0
26;4;862;0;0
27;4;1588;0;0
28;4;1508;0;0
29;4;1614;0;0
30;4;1603;0;0
31;4;1896;0;0
32;4;1903;0;0
33;4;1955;0;0
34;4;1700;0;0
35;4;1182;0;0
36;4;1067;0;0
37;4;914;0;0
38;4;792;0;0
39;4;692;0;0
40;4;767;0;0
41;4;587;0;0
42;4;653;0;0
43;4;549;0;0
44;4;617;0;0
45;4;573;0;0
46;4;738;0;0
47;4;648;0;0
48;4;744;0;0
49;4;678;0;0
50;4;701;0;0
2;4;0;10;67518
1;5;0;26;68511
4;3;0;27;67828
3;1;0;2;68656
6;5;0;1;67908
5;2;0;16;70255
8;5;0;2;67461
7;5;0;1;72157
9;5;0;1;66691
10;5;0;4;67744
11;5;0;2;67029
12;5;0;27;67348
13;5;0;6;66935
14;5;0;5;65785
15;5;0;5;65073
16;5;0;31;66639
19;5;0;2;64579
17;5;0;1;67252
20;5;0;2;66413
18;5;0;12;67449
22;5;0;4;65827
21;5;0;2;65893
23;4;0;2;66259
24;4;0;27;65162
25;4;0;21;65578
26;4;0;9;65104
28;4;0;32;65303
29;4;0;6;64890
27;4;0;14;66283
30;4;0;5;65617
31;4;0;4;65661
32;4;0;9;62745
34;4;0;10;64817
33;4;0;6;65637
37;4;0;3;64041
36;4;0;12;64854
35;4;0;5;65024
38;4;0;11;64330
39;4;0;32;63988
40;4;0;20;64268
41;4;0;15;64456
42;4;0;26;65204
43;4;0;7;64559
44;4;0;7;64333
45;4;0;6;64988
46;4;0;12;65130
47;4;0;44;64070
48;4;0;35;64566
49;4;0;9;21545
50;4;0;27;20686
